[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 6160.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 5400.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 10000.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2435.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 4775.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 1730.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2870.0 :  
[2021-08-10 20:59:38,943] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2606.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 6500.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 4645.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 5760.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 3320.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 4692.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 620.0 :  
[2021-08-10 20:59:38,958] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 4690.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2523.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 5130.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2391.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 4985.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 1750.0 :  
[2021-08-10 20:59:38,974] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3409452.7768643787 / 2335.0 :  
[2021-08-10 20:59:41,496] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2545.0 :  
[2021-08-10 20:59:41,496] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2289.0 :  
[2021-08-10 20:59:41,496] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2640.0 :  
[2021-08-10 20:59:41,496] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 3775.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 5510.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2635.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2570.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 6021.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 1905.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 6510.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 3015.0 :  
[2021-08-10 20:59:41,511] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 1165.0 :  
[2021-08-10 20:59:41,527] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 5280.0 :  
[2021-08-10 20:59:41,527] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 4695.0 :  
[2021-08-10 20:59:41,527] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 5260.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2100.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2125.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 10700.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 988.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 3535.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 3580.0 :  
[2021-08-10 20:59:41,534] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 1185.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 4555.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 15500.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 2656.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 20869.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 4740.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 3160.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 5600.0 :  
[2021-08-10 20:59:41,549] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3607215.973786109 / 4151.0 :  
[2021-08-10 20:59:44,167] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 5618.0 :  
[2021-08-10 20:59:44,167] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 1691.0 :  
[2021-08-10 20:59:44,167] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3164331.745786379 / 4205.0 :  
